name,seed,oof,delta,si_rmse,ic50_rmse,cc50_rmse
si_trans_k8_w30,7,528.9699507335513,-1.281370320706742,783.1344018494736,325.3154875561368,478.45996279504357
si_ratio_fr_only_w15,42,524.9139048311658,-0.14039400947524427,787.3869597305339,322.89411985426335,464.4606349087003
si_ratio_fr_only_w15,2024,528.6265770576475,-0.16598047295462948,786.328795168735,332.9790432015475,466.5718928026599
si_ratio_fr_only_w15,7,530.1335581177465,-0.11776293651155356,786.6252240020591,325.3154875561368,478.45996279504357
si_ratio_fr_only_w20,42,524.8679465835552,-0.18635225708590042,787.2490849877018,322.89411985426335,464.4606349087003
si_ratio_fr_only_w20,2024,528.5722330390677,-0.22032449153448397,786.1657631129956,332.9790432015475,466.5718928026599
si_ratio_fr_only_w20,7,530.0960721177202,-0.1552489365378733,786.5127660019801,325.3154875561368,478.45996279504357
si_ratio_fr_only_w25,42,524.8224085831381,-0.23189025750298242,787.1124709864507,322.89411985426335,464.4606349087003
si_ratio_fr_only_w25,2024,528.5183809352924,-0.27417659530976835,786.0042068016695,332.9790432015475,466.5718928026599
si_ratio_fr_only_w25,7,530.0594709134065,-0.19185014085155672,786.402962389039,325.3154875561368,478.45996279504357
si_ratio_fr_only_w30,42,524.7772910487711,-0.27700779187000535,786.9771183833495,322.89411985426335,464.4606349087003
si_ratio_fr_only_w30,2024,528.4650210497094,-0.3275364808927179,785.844127144921,332.9790432015475,466.5718928026599
si_ratio_fr_only_w30,7,530.0237548754816,-0.22756617877644203,786.2958142752644,325.3154875561368,478.45996279504357
si_ratio_mordred_w15,42,524.7315262421113,-0.32277259852980933,786.8398239633703,322.89411985426335,464.4606349087003
si_ratio_mordred_w15,2024,528.4068891452526,-0.3856683853495042,785.6697314315504,332.9790432015475,466.5718928026599
si_ratio_mordred_w15,7,529.8776872994285,-0.37363375482948413,785.8576115471052,325.3154875561368,478.45996279504357
si_ratio_mordred_w20,42,524.6263772375917,-0.4279216030494126,786.5243769498113,322.89411985426335,464.4606349087003
si_ratio_mordred_w20,2024,528.2807114770459,-0.511846053556269,785.2911984269301,332.9790432015475,466.5718928026599
si_ratio_mordred_w20,7,529.7558288274668,-0.4954922267912707,785.4920361312201,325.3154875561368,478.45996279504357
si_ratio_mordred_w25,42,524.5224516274517,-0.5318472131893941,786.2126001193913,322.89411985426335,464.4606349087003
si_ratio_mordred_w25,2024,528.1557259200595,-0.6368316105426857,784.916241755971,332.9790432015475,466.5718928026599
si_ratio_mordred_w25,7,529.6353165560217,-0.6160044982362933,785.1304993168849,325.3154875561368,478.45996279504357
si_ratio_mordred_w30,42,524.4197508676926,-0.6345479729484396,785.9044978401145,322.89411985426335,464.4606349087003
si_ratio_mordred_w30,2024,528.0319341835267,-0.760623347075466,784.5448665463729,332.9790432015475,466.5718928026599
si_ratio_mordred_w30,7,529.5161523456354,-0.7351687086226093,784.7730066857258,325.3154875561368,478.45996279504357
si_ratio_morgan_w15,42,524.7877256288216,-0.266573211819491,787.0084221235011,322.89411985426335,464.4606349087003
si_ratio_morgan_w15,2024,528.5319793613902,-0.26057816921195354,786.0450020799631,332.9790432015475,466.5718928026599
si_ratio_morgan_w15,7,530.0143050180782,-0.23701603617985256,786.2674647030541,325.3154875561368,478.45996279504357
si_ratio_morgan_w20,42,524.6996401316089,-0.3546587090321509,786.7441656318631,322.89411985426335,464.4606349087003
si_ratio_morgan_w20,2024,528.4462316210703,-0.34632590953185627,785.7877588590035,332.9790432015475,466.5718928026599
si_ratio_morgan_w20,7,529.9369719854941,-0.3143490687639314,786.0354656053022,325.3154875561368,478.45996279504357
si_ratio_morgan_w25,42,524.6119414045271,-0.44235743611397993,786.4810694506177,322.89411985426335,464.4606349087003
si_ratio_morgan_w25,2024,528.3610406185061,-0.4315169120960718,785.5321858513108,332.9790432015475,466.5718928026599
si_ratio_morgan_w25,7,529.8604763503099,-0.3908447039481189,785.8059786997495,325.3154875561368,478.45996279504357
si_ratio_morgan_w30,42,524.5246298358562,-0.5296690047848642,786.2191347446052,322.89411985426335,464.4606349087003
si_ratio_morgan_w30,2024,528.2764068972773,-0.5161506333248553,785.2782846876245,332.9790432015475,466.5718928026599
si_ratio_morgan_w30,7,529.7848188463985,-0.46650220785954843,785.5790061880149,325.3154875561368,478.45996279504357
si_huber_w20,42,524.7309223270319,-0.3233765136092188,786.8380122181321,322.89411985426335,464.4606349087003
si_huber_w20,2024,528.0437648078291,-0.7487927227730324,784.5803584192798,332.9790432015475,466.5718928026599
si_huber_w20,7,529.78468645907,-0.46663459518799755,785.5786090260295,325.3154875561368,478.45996279504357
si_huber_w30,42,524.5783911850111,-0.4759076556299533,786.3804187920697,322.89411985426335,464.4606349087003
si_huber_w30,2024,527.6812452134062,-1.1113123171959387,783.4927996360111,332.9790432015475,466.5718928026599
si_huber_w30,7,529.5592409007727,-0.6920801534853354,784.9022723511379,325.3154875561368,478.45996279504357
si_huber_w40,42,524.4319791457342,-0.6223196949068779,785.941182674239,322.89411985426335,464.4606349087003
si_huber_w40,2024,527.3266877265045,-1.4658698040976788,782.4291271753058,332.9790432015475,466.5718928026599
si_huber_w40,7,529.3390613771011,-0.9122596771569533,784.2417337801228,325.3154875561368,478.45996279504357
si_quantile_w20,42,525.0974616919449,0.04316285130380493,787.937630312871,322.89411985426335,464.4606349087003
si_quantile_w20,2024,528.8695281912991,0.07697066069692937,787.0576485696896,332.9790432015475,466.5718928026599
si_quantile_w20,7,530.3545917681332,0.10327071387519027,787.2883249532192,325.3154875561368,478.45996279504357
si_quantile_w30,42,525.1212460718465,0.06694723120540402,788.0089834525755,322.89411985426335,464.4606349087003
si_quantile_w30,2024,528.9103931840108,0.11783565340863333,787.1802435478247,332.9790432015475,466.5718928026599
si_quantile_w30,7,530.410368940382,0.1590478861239717,787.4556564699656,325.3154875561368,478.45996279504357
si_quantile_w40,42,525.1464985642442,0.09219972360313022,788.0847409297688,322.89411985426335,464.4606349087003
si_quantile_w40,2024,528.9528436397621,0.16028610915998343,787.307594915079,332.9790432015475,466.5718928026599
si_quantile_w40,7,530.4689050054122,0.2175839511542108,787.6312646650566,325.3154875561368,478.45996279504357
si_abs_extra_w20,42,525.1094988842298,0.05520004358868391,787.9737418897255,322.89411985426335,464.4606349087003
si_abs_extra_w20,2024,528.8225576621455,0.030000131543374664,786.9167369822292,332.9790432015475,466.5718928026599
si_abs_extra_w20,7,530.3017375188412,0.05041646458312243,787.1297622053432,325.3154875561368,478.45996279504357
si_abs_extra_w30,42,525.1391034052123,0.08480456457118635,788.0625554526732,322.89411985426335,464.4606349087003
si_abs_extra_w30,2024,528.8398971202553,0.04733958965312013,786.9687553565584,332.9790432015475,466.5718928026599
si_abs_extra_w30,7,530.3308659530417,0.07954489878363802,787.2171475079448,325.3154875561368,478.45996279504357
si_abs_extra_w40,42,525.1700436634438,0.11574482280275333,788.1553762273679,322.89411985426335,464.4606349087003
si_abs_extra_w40,2024,528.8587957702035,0.06623823960137543,787.0254513064034,332.9790432015475,466.5718928026599
si_abs_extra_w40,7,530.3626067209125,0.11128566665445305,787.312369811557,325.3154875561368,478.45996279504357
si_mord_w20_ratio15,42,524.6787989071331,-0.3754999335079674,786.6816419584356,322.89411985426335,464.4606349087003
si_mord_w20_ratio15,2024,528.3436514045826,-0.44890612601955127,785.4800182095404,332.9790432015475,466.5718928026599
si_mord_w20_ratio15,7,529.8165899053445,-0.43473114891355635,785.6743193648531,325.3154875561368,478.45996279504357
si_mord_w25_ratio15,42,524.6263772375917,-0.4279216030494126,786.5243769498113,322.89411985426335,464.4606349087003
si_mord_w25_ratio15,2024,528.2807114770459,-0.511846053556269,785.2911984269301,332.9790432015475,466.5718928026599
si_mord_w25_ratio15,7,529.7558288274668,-0.4954922267912707,785.4920361312201,325.3154875561368,478.45996279504357
